,Rank,Release,Domestic Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor,Year,id,budget,Worldwide Gross,Release_Date,Profit
463,14,22 Jump Street,246761225.25756118,3426.0,57071445.0,0.298,3306.0,Jun 13,Nov 26,Sony Pictures Releasing,2014,187017.0,64354808.73208976,426458564.3288389,2014-06-13,362103755.5967491
464,15,Teenage Mutant Ninja Turtles,246098907.44672546,3980.0,65575105.0,0.34299999999999997,3845.0,Aug 8,Nov 20,Paramount Pictures,2014,98566.0,160887021.8302244,624241644.7012707,2014-08-08,463354622.8710463
465,16,Interstellar,241999844.63678527,3561.0,47510360.0,0.253,3561.0,Nov 5,Mar 19,Paramount Pictures,2014,157336.0,212370868.81589618,903192976.6770242,2014-11-05,690822107.8611281
466,17,How to Train Your Dragon 2,227819786.3808124,4268.0,49451322.0,0.27899999999999997,4253.0,Jun 13,Dec 11,Twentieth Century Fox,2014,82702.0,186628945.3230603,799978563.1012521,2014-06-13,613349617.7781918
467,18,Gone Girl,215932507.19230705,3284.0,37513109.0,0.22399999999999998,3014.0,Oct 3,Feb 26,Twentieth Century Fox,2014,210577.0,78512866.6531495,475324617.29521495,2014-10-03,396811750.64206547
468,19,Divergent,194284458.22473136,3936.0,54607747.0,0.36200000000000004,3936.0,Mar 21,Jul 10,Lionsgate Films,2014,157350.0,109403174.84455259,371823831.2560658,2014-03-21,262420656.4115132
469,20,Neighbors,193267015.1341579,3311.0,49033915.0,0.327,3279.0,May 9,Aug 21,Universal Pictures,2014,195589.0,23167731.14355231,348416934.47553396,2014-05-09,325249203.33198166
470,21,Ride Along,173678441.0330495,2867.0,41516170.0,0.308,2663.0,Jan 17,Apr 17,Universal Pictures,2014,168530.0,32177404.36604488,198210003.73807955,2014-01-17,166032599.37203467
471,22,Rio 2,169302616.50686842,3975.0,39327869.0,0.299,3948.0,Apr 11,Sep 4,Twentieth Century Fox,2014,172385.0,132570905.9881049,643805506.555826,2014-04-11,511234600.56772107
472,23,Into the Woods,164751363.34627602,2833.0,31051923.0,0.243,2440.0,Dec 25,Apr 16,Walt Disney Studios Motion Pictures,2014,224141.0,64354808.73208976,274025828.57336444,2014-12-25,209671019.84127468
473,24,Lucy,163028235.02635846,3202.0,43899340.0,0.34700000000000003,3173.0,Jul 25,Nov 6,Universal Pictures,2014,240832.0,51483846.9856718,590601584.2423629,2014-07-25,539117737.2566911
474,25,The Fault in Our Stars,160722724.00353137,3340.0,48002523.0,0.384,3173.0,Jun 6,Oct 9,Twentieth Century Fox,2014,222935.0,18019346.444985133,395353257.01823133,2014-06-06,377333910.5732462
475,26,Unbroken,148837092.29812956,3301.0,30621445.0,0.265,3131.0,Dec 25,Mar 12,Universal Pictures,2014,227306.0,83661251.35171668,210311514.93646932,2014-12-25,126650263.58475263
476,27,Night at the Museum: Secret of the Tomb,146402840.76753008,3914.0,17100520.0,0.15,3785.0,Dec 19,Jul 9,Twentieth Century Fox,2014,181533.0,163461214.17950797,467479296.3206695,2014-12-19,304018082.1411615
477,28,Mr. Peabody & Sherman,143519499.50096312,3951.0,32207057.0,0.289,3934.0,Mar 7,Sep 4,Twentieth Century Fox,2014,82703.0,186628945.3230603,351264544.6651967,2014-03-07,164635599.3421364
478,29,300: Rise of an Empire,137178775.93522742,3490.0,45038460.0,0.423,3470.0,Mar 7,May 29,Warner Bros.,2014,53182.0,141580579.21059746,434497992.2774821,2014-03-07,292917413.06688464
479,30,The Maze Runner,131834509.35693769,3638.0,32512804.0,0.317,3604.0,Sep 19,Feb 5,Twentieth Century Fox,2014,198663.0,43761269.93782104,448321160.6448618,2014-09-19,404559890.7070408
480,31,The Equalizer,130679824.48835835,3236.0,34137828.0,0.336,3236.0,Sep 26,Jan 11,Sony Pictures Releasing,2014,156022.0,70790289.60529873,247548157.14583334,2014-09-26,176757867.54053462
481,32,Noah,130254189.50598136,3571.0,43720472.0,0.43200000000000005,3567.0,Mar 28,Jun 19,Paramount Pictures,2014,86834.0,160887021.8302244,466701072.9251149,2014-03-28,305814051.09489053
482,33,Edge of Tomorrow,128975088.77277642,3505.0,28760246.0,0.287,3490.0,Jun 6,Sep 11,Warner Bros.,2014,137113.0,229103119.08623955,476922233.1445661,2014-06-06,247819114.05832657
483,34,Non-Stop,118629852.48208976,3183.0,28875635.0,0.313,3090.0,Feb 28,May 29,Universal Pictures,2014,225574.0,64354808.73208976,286765027.71019197,2014-02-28,222410218.9781022
484,35,Heaven Is for Real,117696261.13310185,3048.0,22522221.0,0.24600000000000002,2417.0,Apr 16,Aug 10,TriStar Pictures,2014,236751.0,15445154.095701542,130382842.49121384,2014-04-16,114937688.3955123
485,36,The Imitation Game,117287518.00092086,2402.0,479352.0,0.005,4.0,Nov 28,May 14,The Weinstein Company,2014,205596.0,18019346.444985133,300665666.3963233,2014-11-28,282646319.9513382
486,37,Dumb and Dumber To,110957999.89448163,3188.0,36111775.0,0.419,3154.0,Nov 14,Feb 12,Universal Pictures,2014,100042.0,51483846.9856718,218596565.8836003,2014-11-14,167112718.89792848
487,38,Annie,110576056.67884901,3197.0,15861939.0,0.185,3116.0,Dec 19,Mar 15,Sony Pictures Releasing,2014,196867.0,83661251.35171668,172213468.16707218,2014-12-19,88552216.8153555
488,39,Fury,110455898.52836916,3313.0,23702421.0,0.276,3173.0,Oct 17,Jan 19,Sony Pictures Releasing,2014,228150.0,87522539.87564208,272630016.5332354,2014-10-17,185107476.6575933
489,40,Tammy,108792360.18714517,3465.0,21577049.0,0.255,3465.0,Jul 2,Oct 16,Warner Bros.,2014,226486.0,25741923.4928359,129353165.55150041,2014-07-02,103611242.0586645
490,41,Annabelle,108468502.334778,3215.0,37134255.0,0.441,3185.0,Oct 3,Dec 18,Warner Bros.,2014,250546.0,8366125.135171669,330783716.88294137,2014-10-03,322417591.7477697
491,42,The Other Woman,108001775.51992938,3306.0,24763752.0,0.295,3205.0,Apr 25,Aug 14,Twentieth Century Fox,2014,193610.0,51483846.9856718,253300527.16950527,2014-04-25,201816680.18383348
492,43,Penguins of Madagascar,107924186.78832962,3775.0,25447444.0,0.303,3764.0,Nov 26,May 7,Twentieth Century Fox,2014,270946.0,169896695.05271697,480797471.2168323,2014-11-26,310900776.1641153
493,44,Let's Be Cops,106044850.04117668,3140.0,17813722.0,0.21600000000000003,3094.0,Aug 13,Dec 11,Twentieth Century Fox,2014,193893.0,21880634.96891052,175817337.4560692,2014-08-13,153936702.4871587
494,45,The Monuments Men,100434199.6031022,3083.0,22003433.0,0.282,3083.0,Feb 7,May 18,Sony Pictures Releasing,2014,152760.0,90096732.22492565,199479358.5790501,2014-02-07,109382626.35412444
495,46,Hercules,93557237.01941404,3595.0,29800263.0,0.41,3595.0,Jul 25,Oct 16,Paramount Pictures,2014,184315.0,128709617.46417952,315106707.85653216,2014-07-25,186397090.39235264
496,47,The Purge: Anarchy,92623044.59651257,2856.0,29816675.0,0.414,2805.0,Jul 18,Sep 18,Universal Pictures,2014,238636.0,11583865.571776155,144062570.4254106,2014-07-18,132478704.85363445
497,48,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",86176429.05429678,3117.0,18360230.0,0.27399999999999997,3088.0,Oct 10,Feb 26,Walt Disney Studios Motion Pictures,2014,218778.0,36038692.889970265,129551570.13972527,2014-10-10,93512877.249755
498,49,Think Like a Man Too,83895737.10700527,2225.0,29241911.0,0.449,2225.0,Jun 20,Aug 17,Screen Gems,2014,184098.0,30890308.191403084,90330247.50969857,2014-06-20,59439939.318295486
499,50,Exodus: Gods and Kings,83679930.97849926,3503.0,24115934.0,0.371,3503.0,Dec 12,Feb 26,Twentieth Century Fox,2014,147441.0,180193464.4498513,344982740.50104755,2014-12-12,164789276.05119625
500,1,The Hunger Games: Catching Fire,555455312.5984366,4163.0,158074286.0,0.37200000000000005,4163.0,Nov 22,Apr 3,Lionsgate Films,2013,101299.0,170036787.90506402,1131413990.6922393,2013-11-22,961377202.7871753
501,2,Iron Man 3,534980198.0613933,4253.0,174144585.0,0.426,4253.0,May 3,Sep 12,Walt Disney Studios Motion Pictures,2013,68721.0,261595058.31548312,1589944949.1447349,2013-05-03,1328349890.8292518
502,3,Frozen,524155414.167928,3742.0,243390.0,0.001,1.0,Nov 22,Jul 17,Walt Disney Studios Motion Pictures,2013,109445.0,196196293.73661235,1666646979.8302605,2013-11-22,1470450686.0936482
503,4,Despicable Me 2,481420429.26492876,4003.0,83517315.0,0.22699999999999998,3997.0,Jul 3,Jan 16,Universal Pictures,2013,93456.0,99406122.15988359,1269782413.063355,2013-07-03,1170376290.9034715
504,5,Man of Steel,380680346.26834995,4207.0,116619362.0,0.401,4207.0,Jun 14,Sep 19,Warner Bros.,2013,49521.0,294294440.60491854,873787031.1930356,2013-06-14,579492590.5881171
505,6,Gravity,358506485.74161756,3820.0,55785112.0,0.204,3575.0,Oct 4,May 8,Warner Bros.,2013,49047.0,137337405.61562863,945918189.1890349,2013-10-04,808580783.5734063
506,7,Monsters University,351181901.27932626,4004.0,82429469.0,0.307,4004.0,Jun 21,Dec 19,Walt Disney Studios Motion Pictures,2013,62211.0,261595058.31548312,972610426.8169663,2013-06-21,711015368.5014832
507,8,The Hobbit: The Desolation of Smaug,337937462.5025649,3928.0,73645197.0,0.285,3903.0,Dec 13,Apr 17,Warner Bros.,2013,57158.0,326993822.8943539,1253563519.4477952,2013-12-13,926569696.5534413
508,9,Fast & Furious 6,312187346.39740384,3771.0,97375245.0,0.408,3658.0,May 24,Sep 5,Universal Pictures,2013,82992.0,209276046.6523865,1031600112.4671077,2013-05-24,822324065.8147211
509,10,Oz the Great and Powerful,307258862.79935783,3912.0,79110453.0,0.337,3912.0,Mar 8,Jul 18,Walt Disney Studios Motion Pictures,2013,68728.0,261595058.31548312,643351907.48806,2013-03-08,381756849.1725769
510,11,Star Trek Into Darkness,299236835.8281657,3907.0,70165559.0,0.307,3868.0,May 16,Sep 12,Paramount Pictures,2013,54138.0,248515305.39970896,611347651.2832841,2013-05-16,362832345.8835751
511,12,Thor: The Dark World,269916580.23703945,3841.0,85737841.0,0.415,3841.0,Nov 8,Apr 17,Walt Disney Studios Motion Pictures,2013,76338.0,222355799.56816065,843360415.5457016,2013-11-08,621004615.977541
512,13,World War Z,264681501.99874657,3607.0,66411834.0,0.32799999999999996,3607.0,Jun 21,Oct 10,Paramount Pictures,2013,72190.0,261595058.31548312,695666278.4548222,2013-06-21,434071220.1393391
513,14,The Croods,244811675.26346064,4065.0,43639736.0,0.233,4046.0,Mar 22,Sep 19,Twentieth Century Fox,2013,49519.0,176576664.3629511,768049196.8429196,2013-03-22,591472532.4799685
514,15,The Heat,208729558.87986195,3184.0,39115043.0,0.245,3181.0,Jun 28,Dec 12,Twentieth Century Fox,2013,136795.0,56242937.53782887,207541906.85130733,2013-06-28,151298969.31347847
515,16,We're the Millers,196711791.65055355,3445.0,26419396.0,0.17600000000000002,3260.0,Aug 7,Dec 5,Warner Bros.,2013,138832.0,48395085.78836438,353153328.7259022,2013-08-07,304758242.9375378
516,17,American Hustle,196350382.3817872,2629.0,740455.0,0.005,6.0,Dec 13,Apr 6,Sony Pictures Releasing,2013,168672.0,52319011.66309662,328526517.4968513,2013-12-13,276207505.8337547
517,18,The Great Gatsby,189447689.27372006,3550.0,50085185.0,0.34600000000000003,3535.0,May 10,Aug 22,Warner Bros.,2013,64682.0,137337405.61562863,459152194.39698315,2013-05-10,321814788.78135455
518,19,The Conjuring,179715989.48725304,3115.0,41855326.0,0.305,2903.0,Jul 19,Oct 31,Warner Bros.,2013,138843.0,17003678.790506404,419075283.42140394,2013-07-19,402071604.6308975
519,20,Identity Thief,175931727.9061801,3230.0,34551025.0,0.257,3141.0,Feb 8,Jun 6,Universal Pictures,2013,109431.0,45779135.205209546,227541934.67901802,2013-02-08,181762799.47380847
520,21,Grown Ups 2,174835127.96159807,3491.0,41508572.0,0.311,3491.0,Jul 12,Nov 17,Sony Pictures Releasing,2013,109418.0,104638023.32619324,323099036.0931674,2013-07-12,218461012.76697418
521,22,The Wolverine,173381087.14528432,3924.0,53113752.0,0.401,3924.0,Jul 26,Dec 5,Twentieth Century Fox,2013,76170.0,156957034.98928988,543386135.4002928,2013-07-26,386429100.4110029
522,23,Anchorman 2: The Legend Continues,163717132.63106924,3507.0,26232425.0,0.21,3507.0,Dec 18,Feb 20,Paramount Pictures,2013,109443.0,65398764.57887078,227195308.1469971,2013-12-18,161796543.56812632
523,24,Lone Survivor,163621955.19302705,3285.0,90872.0,0.001,2.0,Dec 25,Apr 10,Universal Pictures,2013,193756.0,52319011.66309662,195274957.2492005,2013-12-25,142955945.58610386
524,25,G.I. Joe: Retaliation,160257135.1284572,3734.0,40501814.0,0.331,3719.0,Mar 28,Jul 18,Paramount Pictures,2013,72559.0,170036787.90506402,486436010.93764085,2013-03-28,316399223.0325768
